country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
China,Yunnan,2020-01-22,-11,1,0,,,,,,,,,
China,Yunnan,2020-01-23,-10,2,0,,,,,,,,,
China,Yunnan,2020-01-24,-9,5,0,,,,,,,,,
China,Yunnan,2020-01-25,-8,11,0,,,,,,,,,
China,Yunnan,2020-01-26,-7,16,0,,,,,,,,,
China,Yunnan,2020-01-27,-6,26,0,,,,,,,,,
China,Yunnan,2020-01-28,-5,44,0,,,,,,,,,
China,Yunnan,2020-01-29,-4,55,0,,,,,,,,,
China,Yunnan,2020-01-30,-3,70,0,,,,,,,,,
China,Yunnan,2020-01-31,-2,83,0,,,,,,,,,
China,Yunnan,2020-02-01,-1,93,0,,,,,,,,,
China,Yunnan,2020-02-02,0,105,0,,,,,,,,,
China,Yunnan,2020-02-03,1,117,0,,,,,,,,,
China,Yunnan,2020-02-04,2,122,0,,,,,,,,,
China,Yunnan,2020-02-05,3,128,0,,,,,,,,,
China,Yunnan,2020-02-06,4,133,0,,,,,,,,,
China,Yunnan,2020-02-07,5,138,0,,,,,,,,,
China,Yunnan,2020-02-08,6,138,0,,,,,,,,,
China,Yunnan,2020-02-09,7,141,0,,,,,,,,,
China,Yunnan,2020-02-10,8,149,0,,,,,,,,,
China,Yunnan,2020-02-11,9,153,0,,,,,,,,,
China,Yunnan,2020-02-12,10,154,0,,,,,,,,,
China,Yunnan,2020-02-13,11,156,0,,,,,,,,,
China,Yunnan,2020-02-14,12,162,0,,,,,,,,,
China,Yunnan,2020-02-15,13,168,0,,,,,,,,,
China,Yunnan,2020-02-16,14,171,0,,,,,,,,,
China,Yunnan,2020-02-17,15,171,0,,,,,,,,,
China,Yunnan,2020-02-18,16,172,0,,,,,,,,,
China,Yunnan,2020-02-19,17,172,1,,,,,,,,,
China,Yunnan,2020-02-20,18,174,2,,,,,,,,,
China,Yunnan,2020-02-21,19,174,2,,,,,,,,,
China,Yunnan,2020-02-22,20,174,2,,,,,,,,,
China,Yunnan,2020-02-23,21,174,2,,,,,,,,,
China,Yunnan,2020-02-24,22,174,2,,,,,,,,,
China,Yunnan,2020-02-25,23,174,2,,,,,,,,,
China,Yunnan,2020-02-26,24,174,2,,,,,,,,,
China,Yunnan,2020-02-27,25,174,2,,,,,,,,,
China,Yunnan,2020-02-28,26,174,2,,,,,,,,,
China,Yunnan,2020-02-29,27,174,2,,,,,,,,,
China,Yunnan,2020-03-01,28,174,2,,,,,,,,,
China,Yunnan,2020-03-02,29,174,2,,,,,,,,,
China,Yunnan,2020-03-03,30,174,2,,,,,,,,,
China,Yunnan,2020-03-04,31,174,2,,,,,,,,,
China,Yunnan,2020-03-05,32,174,2,,,,,,,,,
China,Yunnan,2020-03-06,33,174,2,,,,,,,,,
China,Yunnan,2020-03-07,34,174,2,,,,,,,,,
China,Yunnan,2020-03-08,35,174,2,,,,,,,,,
China,Yunnan,2020-03-09,36,174,2,,,,,,,,,
China,Yunnan,2020-03-10,37,174,2,,,,,,,,,
China,Yunnan,2020-03-11,38,174,2,,,,,,,,,
China,Yunnan,2020-03-12,39,174,2,,,,,,,,,
China,Yunnan,2020-03-13,40,174,2,,,,,,,,,
China,Yunnan,2020-03-14,41,174,2,,,,,,,,,
China,Yunnan,2020-03-15,42,174,2,,,,,,,,,
China,Yunnan,2020-03-16,43,176,2,,,,,,,,,
China,Yunnan,2020-03-17,44,176,2,,,,,,,,,
China,Yunnan,2020-03-18,45,176,2,,,,,,,,,
China,Yunnan,2020-03-19,46,176,2,,,,,,,,,
China,Yunnan,2020-03-20,47,176,2,,,,,,,,,
