country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered,people_vaccinated,people_fully_vaccinated,daily_vaccinations
Maldives,,2020-01-22,-92,0,0,,,,,,,,,
Maldives,,2020-01-23,-91,0,0,,,,,,,,,
Maldives,,2020-01-24,-90,0,0,,,,,,,,,
Maldives,,2020-01-25,-89,0,0,,,,,,,,,
Maldives,,2020-01-26,-88,0,0,,,,,,,,,
Maldives,,2020-01-27,-87,0,0,,,,,,,,,
Maldives,,2020-01-28,-86,0,0,,,,,,,,,
Maldives,,2020-01-29,-85,0,0,,,,,,,,,
Maldives,,2020-01-30,-84,0,0,,,,,,,,,
Maldives,,2020-01-31,-83,0,0,,,,,,,,,
Maldives,,2020-02-01,-82,0,0,,,,,,,,,
Maldives,,2020-02-02,-81,0,0,,,,,,,,,
Maldives,,2020-02-03,-80,0,0,,,,,,,,,
Maldives,,2020-02-04,-79,0,0,,,,,,,,,
Maldives,,2020-02-05,-78,0,0,,,,,,,,,
Maldives,,2020-02-06,-77,0,0,,,,,,,,,
Maldives,,2020-02-07,-76,0,0,,,,,,,,,
Maldives,,2020-02-08,-75,0,0,,,,,,,,,
Maldives,,2020-02-09,-74,0,0,,,,,,,,,
Maldives,,2020-02-10,-73,0,0,,,,,,,,,
Maldives,,2020-02-11,-72,0,0,,,,,,,,,
Maldives,,2020-02-12,-71,0,0,,,,,,,,,
Maldives,,2020-02-13,-70,0,0,,,,,,,,,
Maldives,,2020-02-14,-69,0,0,,,,,,,,,
Maldives,,2020-02-15,-68,0,0,,,,,,,,,
Maldives,,2020-02-16,-67,0,0,,,,,,,,,
Maldives,,2020-02-17,-66,0,0,,,,,,,,,
Maldives,,2020-02-18,-65,0,0,,,,,,,,,
Maldives,,2020-02-19,-64,0,0,,,,,,,,,
Maldives,,2020-02-20,-63,0,0,,,,,,,,,
Maldives,,2020-02-21,-62,0,0,,,,,,,,,
Maldives,,2020-02-22,-61,0,0,,,,,,,,,
Maldives,,2020-02-23,-60,0,0,,,,,,,,,
Maldives,,2020-02-24,-59,0,0,,,,,,,,,
Maldives,,2020-02-25,-58,0,0,,,,,,,,,
Maldives,,2020-02-26,-57,0,0,,,,,,,,,
Maldives,,2020-02-27,-56,0,0,,,,,,,,,
Maldives,,2020-02-28,-55,0,0,,,,,,,,,
Maldives,,2020-02-29,-54,0,0,,,,,,,,,
Maldives,,2020-03-01,-53,0,0,,,,,,,,,
Maldives,,2020-03-02,-52,0,0,,,,,,,,,
Maldives,,2020-03-03,-51,0,0,,,,,,,,,
Maldives,,2020-03-04,-50,0,0,,,,,,,,,
Maldives,,2020-03-05,-49,0,0,,,,,,,,,
Maldives,,2020-03-06,-48,0,0,,,,,,,,,
Maldives,,2020-03-07,-47,0,0,,,,,,,,,
Maldives,,2020-03-08,-46,4,0,,,,,,,,,
Maldives,,2020-03-09,-45,4,0,,,,,,,,,
Maldives,,2020-03-10,-44,6,0,,,,,,,,,
Maldives,,2020-03-11,-43,8,0,,,,,,,,,
Maldives,,2020-03-12,-42,8,0,,,,,,,,,
Maldives,,2020-03-13,-41,9,0,,,,,,,,,
Maldives,,2020-03-14,-40,10,0,,,,,,,,,
Maldives,,2020-03-15,-39,13,0,,,,,,,,,
Maldives,,2020-03-16,-38,13,0,,,,,,,,,
Maldives,,2020-03-17,-37,13,0,,,,,,,,,
Maldives,,2020-03-18,-36,13,0,,,,,,,,,
Maldives,,2020-03-19,-35,13,0,,,,,,,,,
Maldives,,2020-03-20,-34,13,0,,,,,,,,,
Maldives,,2020-03-21,-33,13,0,,,,,,,,,
Maldives,,2020-03-22,-32,13,0,,,,,,,,,
Maldives,,2020-03-23,-31,13,0,,,,,,,,,
Maldives,,2020-03-24,-30,13,0,,,,,,,,,
Maldives,,2020-03-25,-29,13,0,,,,,,,,,
Maldives,,2020-03-26,-28,13,0,,,,,,,,,
Maldives,,2020-03-27,-27,16,0,,,,,,,,,
Maldives,,2020-03-28,-26,16,0,,,,,,,,,
Maldives,,2020-03-29,-25,17,0,,,,,,,,,
Maldives,,2020-03-30,-24,17,0,,,,,,,,,
Maldives,,2020-03-31,-23,18,0,,,,,,,,,
Maldives,,2020-04-01,-22,19,0,,,,,,,,,
Maldives,,2020-04-02,-21,19,0,,,,,,,,,
Maldives,,2020-04-03,-20,19,0,,,,,,,,,
Maldives,,2020-04-04,-19,19,0,,,,,,,,,
Maldives,,2020-04-05,-18,19,0,,,,,,,,,
Maldives,,2020-04-06,-17,19,0,,,,,,,,,
Maldives,,2020-04-07,-16,19,0,,,,,,,,,
Maldives,,2020-04-08,-15,19,0,,,,,,,,,
Maldives,,2020-04-09,-14,19,0,,,,,,,,,
Maldives,,2020-04-10,-13,19,0,,,,,,,,,
Maldives,,2020-04-11,-12,19,0,,,,,,,,,
Maldives,,2020-04-12,-11,20,0,,,,,,,,,
Maldives,,2020-04-13,-10,20,0,,,,,,,,,
Maldives,,2020-04-14,-9,20,0,,,,,,,,,
Maldives,,2020-04-15,-8,22,0,,,,,,,,,
Maldives,,2020-04-16,-7,25,0,,,,,,,,,
Maldives,,2020-04-17,-6,28,0,,,,,,,,,
Maldives,,2020-04-18,-5,35,0,,,,,,,,,
Maldives,,2020-04-19,-4,52,0,,,,,,,,,
Maldives,,2020-04-20,-3,69,0,,,,,,,,,
Maldives,,2020-04-21,-2,83,0,,,,,,,,,
Maldives,,2020-04-22,-1,86,0,,,,,,,,,
Maldives,,2020-04-23,0,108,0,,,,,,,,,
Maldives,,2020-04-24,1,129,0,,,,,,,,,
Maldives,,2020-04-25,2,177,0,,,,,,,,,
Maldives,,2020-04-26,3,214,0,,,,,,,,,
Maldives,,2020-04-27,4,226,0,,,,,,,,,
Maldives,,2020-04-28,5,250,0,,,,,,,,,
Maldives,,2020-04-29,6,278,1,,,,,,,,,
Maldives,,2020-04-30,7,468,1,,,,,,,,,
Maldives,,2020-05-01,8,491,1,,,,,,,,,
Maldives,,2020-05-02,9,519,1,,,,,,,,,
Maldives,,2020-05-03,10,527,1,,,,,,,,,
Maldives,,2020-05-04,11,541,1,,,,,,,,,
Maldives,,2020-05-05,12,573,2,,,,,,,,,
Maldives,,2020-05-06,13,617,2,,,,,,,,,
Maldives,,2020-05-07,14,648,3,,,,,,,,,
Maldives,,2020-05-08,15,744,3,,,,,,,,,
Maldives,,2020-05-09,16,790,3,,,,,,,,,
Maldives,,2020-05-10,17,835,3,,,,,,,,,
Maldives,,2020-05-11,18,897,3,,,,,,,,,
Maldives,,2020-05-12,19,904,3,,,,,,,,,
Maldives,,2020-05-13,20,955,4,,,,,,,,,
Maldives,,2020-05-14,21,982,4,,,,,,,,,
Maldives,,2020-05-15,22,1031,4,,,,,,,,,
Maldives,,2020-05-16,23,1078,4,,,,,,,,,
Maldives,,2020-05-17,24,1094,4,,,,,,,,,
Maldives,,2020-05-18,25,1106,4,,,,,,,,,
Maldives,,2020-05-19,26,1143,4,,,,,,,,,
Maldives,,2020-05-20,27,1186,4,,,,,,,,,
Maldives,,2020-05-21,28,1216,4,,,,,,,,,
Maldives,,2020-05-22,29,1274,4,,,,,,,,,
Maldives,,2020-05-23,30,1313,4,,,,,,,,,
Maldives,,2020-05-24,31,1371,4,,,,,,,,,
Maldives,,2020-05-25,32,1395,4,,,,,,,,,
Maldives,,2020-05-26,33,1438,5,,,,,,,,,
Maldives,,2020-05-27,34,1457,5,,,,,,,,,
Maldives,,2020-05-28,35,1513,5,,,,,,,,,
Maldives,,2020-05-29,36,1591,5,,,,,,,,,
Maldives,,2020-05-30,37,1672,5,,,,,,,,,
Maldives,,2020-05-31,38,1773,5,,,,,,,,,
Maldives,,2020-06-01,39,1829,6,,,,,,,,,
Maldives,,2020-06-02,40,1841,7,,,,,,,,,
Maldives,,2020-06-03,41,1850,7,,,,,,,,,
Maldives,,2020-06-04,42,1872,7,,,,,,,,,
Maldives,,2020-06-05,43,1883,7,,,,,,,,,
Maldives,,2020-06-06,44,1901,8,,,,,,,,,
Maldives,,2020-06-07,45,1903,8,,,,,,,,,
Maldives,,2020-06-08,46,1916,8,,,,,,,,,
Maldives,,2020-06-09,47,1942,8,,,,,,,,,
Maldives,,2020-06-10,48,1962,8,,,,,,,,,
Maldives,,2020-06-11,49,1976,8,,,,,,,,,
Maldives,,2020-06-12,50,2003,8,,,,,,,,,
Maldives,,2020-06-13,51,2013,8,,,,,,,,,
Maldives,,2020-06-14,52,2035,8,,,,,,,,,
Maldives,,2020-06-15,53,2065,8,,,,,,,,,
Maldives,,2020-06-16,54,2094,8,,,,,,,,,
Maldives,,2020-06-17,55,2120,8,,,,,,,,,
Maldives,,2020-06-18,56,2137,8,,,,,,,,,
Maldives,,2020-06-19,57,2150,8,,,,,,,,,
Maldives,,2020-06-20,58,2187,8,,,,,,,,,
Maldives,,2020-06-21,59,2203,8,,,,,,,,,
Maldives,,2020-06-22,60,2217,8,,,,,,,,,
Maldives,,2020-06-23,61,2238,8,,,,,,,,,
Maldives,,2020-06-24,62,2261,8,,,,,,,,,
Maldives,,2020-06-25,63,2277,8,,,,,,,,,
Maldives,,2020-06-26,64,2283,8,,,,,,,,,
Maldives,,2020-06-27,65,2305,8,,,,,,,,,
Maldives,,2020-06-28,66,2324,8,,,,,,,,,
Maldives,,2020-06-29,67,2337,8,,,,,,,,,
Maldives,,2020-06-30,68,2361,9,,,,,,,,,
Maldives,,2020-07-01,69,2382,9,,,,,,,,,
Maldives,,2020-07-02,70,2400,10,,,,,,,,,
Maldives,,2020-07-03,71,2410,10,,,,,,,,,
Maldives,,2020-07-04,72,2435,10,,,,,,,,,
Maldives,,2020-07-05,73,2468,11,,,,,,,,,
Maldives,,2020-07-06,74,2491,12,,,,,,,,,
Maldives,,2020-07-07,75,2501,12,,,,,,,,,
Maldives,,2020-07-08,76,2517,13,,,,,,,,,
Maldives,,2020-07-09,77,2553,13,,,,,,,,,
Maldives,,2020-07-10,78,2617,13,,,,,,,,,
Maldives,,2020-07-11,79,2664,13,,,,,,,,,
Maldives,,2020-07-12,80,2731,13,,,,,,,,,
Maldives,,2020-07-13,81,2762,13,,,,,,,,,
Maldives,,2020-07-14,82,2801,14,,,,,,,,,
Maldives,,2020-07-15,83,2831,14,,,,,,,,,
Maldives,,2020-07-16,84,2899,15,,,,,,,,,
Maldives,,2020-07-17,85,2913,15,,,,,,,,,
Maldives,,2020-07-18,86,2930,15,,,,,,,,,
Maldives,,2020-07-19,87,2966,15,,,,,,,,,
Maldives,,2020-07-20,88,2999,15,,,,,,,,,
Maldives,,2020-07-21,89,3044,15,,,,,,,,,
Maldives,,2020-07-22,90,3103,15,,,,,,,,,
Maldives,,2020-07-23,91,3120,15,,,,,,,,,
Maldives,,2020-07-24,92,3175,15,,,,,,,,,
Maldives,,2020-07-25,93,3252,15,,,,,,,,,
Maldives,,2020-07-26,94,3302,15,,,,,,,,,
Maldives,,2020-07-27,95,3369,15,,,,,,,,,
Maldives,,2020-07-28,96,3506,15,,,,,,,,,
Maldives,,2020-07-29,97,3567,15,,,,,,,,,
Maldives,,2020-07-30,98,3719,16,,,,,,,,,
Maldives,,2020-07-31,99,3793,16,,,,,,,,,
Maldives,,2020-08-01,100,3949,17,,,,,,,,,
Maldives,,2020-08-02,101,4164,18,,,,,,,,,
Maldives,,2020-08-03,102,4293,18,,,,,,,,,
Maldives,,2020-08-04,103,4446,19,,,,,,,,,
Maldives,,2020-08-05,104,4594,19,,,,,,,,,
Maldives,,2020-08-06,105,4680,19,,,,,,,,,
Maldives,,2020-08-07,106,4769,19,,,,,,,,,
Maldives,,2020-08-08,107,4898,19,,,,,,,,,
Maldives,,2020-08-09,108,5041,19,,,,,,,,,
Maldives,,2020-08-10,109,5157,19,,,,,,,,,
Maldives,,2020-08-11,110,5223,20,,,,,,,,,
Maldives,,2020-08-12,111,5366,21,,,,,,,,,
Maldives,,2020-08-13,112,5494,21,,,,,,,,,
Maldives,,2020-08-14,113,5572,22,,,,,,,,,
Maldives,,2020-08-15,114,5679,22,,,,,,,,,
Maldives,,2020-08-16,115,5785,22,,,,,,,,,
Maldives,,2020-08-17,116,5909,23,,,,,,,,,
Maldives,,2020-08-18,117,6079,24,,,,,,,,,
Maldives,,2020-08-19,118,6225,24,,,,,,,,,
Maldives,,2020-08-20,119,6370,24,,,,,,,,,
Maldives,,2020-08-21,120,6564,26,,,,,,,,,
Maldives,,2020-08-22,121,6660,26,,,,,,,,,
Maldives,,2020-08-23,122,6779,26,,,,,,,,,
Maldives,,2020-08-24,123,6912,27,,,,,,,,,
Maldives,,2020-08-25,124,7047,28,,,,,,,,,
Maldives,,2020-08-26,125,7225,28,,,,,,,,,
Maldives,,2020-08-27,126,7329,28,,,,,,,,,
Maldives,,2020-08-28,127,7469,28,,,,,,,,,
Maldives,,2020-08-29,128,7578,28,,,,,,,,,
Maldives,,2020-08-30,129,7667,28,,,,,,,,,
Maldives,,2020-08-31,130,7804,28,,,,,,,,,
Maldives,,2020-09-01,131,8003,29,,,,,,,,,
Maldives,,2020-09-02,132,8140,29,,,,,,,,,
Maldives,,2020-09-03,133,8281,29,,,,,,,,,
Maldives,,2020-09-04,134,8361,29,,,,,,,,,
Maldives,,2020-09-05,135,8486,29,,,,,,,,,
Maldives,,2020-09-06,136,8584,29,,,,,,,,,
Maldives,,2020-09-07,137,8667,29,,,,,,,,,
Maldives,,2020-09-08,138,8741,29,,,,,,,,,
Maldives,,2020-09-09,139,8834,31,,,,,,,,,
Maldives,,2020-09-10,140,8900,31,,,,,,,,,
Maldives,,2020-09-11,141,8990,31,,,,,,,,,
Maldives,,2020-09-12,142,9052,31,,,,,,,,,
Maldives,,2020-09-13,143,9173,32,,,,,,,,,
Maldives,,2020-09-14,144,9243,33,,,,,,,,,
Maldives,,2020-09-15,145,9328,33,,,,,,,,,
Maldives,,2020-09-16,146,9427,33,,,,,,,,,
Maldives,,2020-09-17,147,9494,33,,,,,,,,,
Maldives,,2020-09-18,148,9568,33,,,,,,,,,
Maldives,,2020-09-19,149,9649,33,,,,,,,,,
Maldives,,2020-09-20,150,9724,33,,,,,,,,,
Maldives,,2020-09-21,151,9770,34,,,,,,,,,
Maldives,,2020-09-22,152,9818,34,,,,,,,,,
Maldives,,2020-09-23,153,9885,34,,,,,,,,,
Maldives,,2020-09-24,154,9939,34,,,,,,,,,
Maldives,,2020-09-25,155,10014,34,,,,,,,,,
Maldives,,2020-09-26,156,10045,34,,,,,,,,,
Maldives,,2020-09-27,157,10098,34,,,,,,,,,
Maldives,,2020-09-28,158,10157,34,,,,,,,,,
Maldives,,2020-09-29,159,10194,34,,,,,,,,,
Maldives,,2020-09-30,160,10291,34,,,,,,,,,
Maldives,,2020-10-01,161,10354,34,,,,,,,,,
Maldives,,2020-10-02,162,10398,34,,,,,,,,,
Maldives,,2020-10-03,163,10465,34,,,,,,,,,
Maldives,,2020-10-04,164,10530,34,,,,,,,,,
Maldives,,2020-10-05,165,10567,34,,,,,,,,,
Maldives,,2020-10-06,166,10621,34,,,,,,,,,
Maldives,,2020-10-07,167,10656,34,,,,,,,,,
Maldives,,2020-10-08,168,10742,34,,,,,,,,,
Maldives,,2020-10-09,169,10808,34,,,,,,,,,
Maldives,,2020-10-10,170,10859,34,,,,,,,,,
Maldives,,2020-10-11,171,10894,35,,,,,,,,,
Maldives,,2020-10-12,172,10943,35,,,,,,,,,
Maldives,,2020-10-13,173,10993,35,,,,,,,,,
Maldives,,2020-10-14,174,11062,35,,,,,,,,,
